timesteps,ep_rew_mean,ep_len_mean
987136,1305.595458984375,948.5700073242188
991232,1323.93994140625,952.2100219726562
995328,1356.9954833984375,954.8699951171875
999424,1346.134521484375,948.6199951171875
1003520,1343.27685546875,946.7999877929688
1004096,1334.192626953125,940.77001953125
1007616,1337.324951171875,942.030029296875
1008192,1337.9593505859375,937.0900268554688
1011712,1334.25048828125,935.2899780273438
1012288,1330.465576171875,939.9600219726562
1015808,1324.49169921875,930.780029296875
1016384,1340.0084228515625,942.260009765625
1019904,1331.847412109375,936.739990234375
1020480,1316.9462890625,928.9299926757812
1024000,1332.7509765625,936.739990234375
1024576,1324.07080078125,934.8900146484375
1028096,1327.856689453125,923.4299926757812
1028672,1326.3731689453125,934.8900146484375
1032192,1316.7611083984375,915.3400268554688
1032768,1345.4302978515625,934.8900146484375
1036288,1345.4697265625,915.3400268554688
1036864,1344.0751953125,932.25
1040384,1363.9849853515625,915.3400268554688
1040960,1356.7879638671875,932.25
1044480,1369.3978271484375,922.3099975585938
1045056,1377.5321044921875,932.25
1048576,1372.731689453125,921.9600219726562
1049152,1392.67236328125,938.2899780273438
1052672,1362.726806640625,921.9600219726562
1053248,1383.56005859375,932.719970703125
1056768,1353.542236328125,921.9600219726562
1057344,1385.2852783203125,932.719970703125
1060864,1343.7764892578125,924.47998046875
1061440,1384.1038818359375,932.719970703125
1064960,1347.8255615234375,924.47998046875
1065536,1402.126953125,939.7899780273438
1069056,1359.3861083984375,921.0700073242188
1069632,1384.52783203125,925.3800048828125
1073152,1358.420654296875,912.4299926757812
1073728,1410.48388671875,930.4099731445312
1077248,1349.17431640625,908.1199951171875
1077824,1411.705078125,926.1799926757812
1081344,1331.4912109375,904.4400024414062
1081920,1406.3199462890625,926.1799926757812
1085440,1331.1473388671875,904.72998046875
1086016,1394.2056884765625,927.780029296875
1089536,1333.00732421875,904.72998046875
1090112,1396.323486328125,927.780029296875
1093632,1353.8756103515625,911.010009765625
1094208,1406.3338623046875,934.22998046875
1097728,1354.086669921875,911.010009765625
1098304,1422.677001953125,940.47998046875
1101824,1377.2606201171875,927.6900024414062
1102400,1442.20458984375,952.010009765625
1105920,1367.4766845703125,920.3699951171875
1106496,1434.7349853515625,946.97998046875
1110016,1376.73583984375,924.8800048828125
1110592,1438.2601318359375,946.97998046875
1114112,1359.411376953125,915.1599731445312
1114688,1444.5504150390625,946.97998046875
1118208,1368.276611328125,919.4500122070312
1118784,1473.22607421875,960.3099975585938
1122304,1381.698974609375,928.469970703125
1122880,1438.0443115234375,938.760009765625
1126400,1386.5098876953125,930.3400268554688
1126976,1436.260009765625,938.760009765625
1130496,1385.456787109375,930.3400268554688
1131072,1428.742431640625,931.8699951171875
1134592,1377.9483642578125,926.1699829101562
1135168,1425.301025390625,929.6500244140625
1138688,1384.929443359375,926.52001953125
1139264,1422.2998046875,929.6500244140625
1142784,1396.43310546875,926.52001953125
1143360,1430.930908203125,929.6500244140625
1146880,1404.10302734375,926.52001953125
1147456,1436.923095703125,930.0800170898438
1150976,1408.83935546875,925.1799926757812
1151552,1431.2996826171875,927.2000122070312
1155072,1400.4173583984375,912.739990234375
1155648,1427.642333984375,927.2000122070312
1159168,1406.3377685546875,913.9199829101562
1159744,1427.7901611328125,927.2000122070312
1163264,1429.5262451171875,929.4400024414062
1163840,1449.5623779296875,940.239990234375
1167360,1424.07373046875,925.2899780273438
1167936,1435.77734375,932.0800170898438
1171456,1436.9197998046875,934.8800048828125
